1643023261.040489511  :  (-0.226683   -3.79655),   0.228987
1643023261.216435476  :  (-0.226683   -3.79655),   0.228987
1643023261.436481809  :  (-0.226683   -3.79655),   0.228987
1643023261.644426673  :  (-0.226683   -3.79655),   0.228987
1643023261.820502403  :  (-0.226683   -3.79655),   0.228987
1643023262.017016067  :  (-0.226683   -3.79655),   0.228987
1643023262.236597885  :  (-0.226683   -3.79655),   0.228987
1643023262.448862921  :  (-0.226683   -3.79655),   0.228987
1643023262.624421407  :  (-0.226683   -3.79655),   0.228987
1643023262.832424868  :  (-0.226683   -3.79655),   0.228987
1643023263.040448165  :  (-0.226683   -3.79655),   0.228987
1643023263.216404746  :  (-0.226683   -3.79655),   0.228987
1643023263.424441940  :  (-0.226683   -3.79655),   0.228987
1643023263.615444987  :  (-0.226683   -3.79655),   0.228987
1643023263.852417423  :  (-0.226683   -3.79655),   0.228987
1643023264.016381349  :  (-0.226683   -3.79655),   0.228987
1643023264.236407846  :  (-0.226683   -3.79655),   0.228987
1643023264.444397968  :  (-0.226683   -3.79655),   0.228987
1643023264.620426276  :  (-0.226683   -3.79655),   0.228987
1643023264.828414931  :  (-0.226683   -3.79655),   0.228987
1643023265.036554304  :  (-0.226683   -3.79655),   0.228987
1643023265.256421982  :  (-0.226683   -3.79655),   0.227242
1643023265.420428371  :  (-0.226683   -3.79655),   0.22794
1643023265.640460177  :  (-0.226683   -3.79655),   0.22794
1643023265.852467080  :  (-0.226683   -3.79655),   0.22794
1643023266.016424580  :  (-0.226683   -3.79655),   0.22794
1643023266.236428310  :  (-0.226683   -3.79655),   0.22794
1643023266.444407396  :  (-0.226683   -3.79655),   0.22794
1643023266.613137640  :  (-0.226683   -3.79655),   0.22794
1643023266.832471382  :  (-0.226683   -3.79655),   0.22794
1643023267.040502012  :  (-0.226683   -3.79655),   0.22794
1643023267.216402580  :  (-0.226683   -3.79655),   0.22794
1643023267.424417356  :  (-0.226683   -3.79655),   0.22794
1643023267.636588595  :  (-0.226683   -3.79655),   0.22794
1643023267.856398795  :  (-0.226683   -3.79655),   0.22794
1643023268.020460987  :  (-0.226683   -3.79655),   0.22794
1643023268.212905348  :  (-0.226683   -3.79655),   0.22794
1643023268.452530077  :  (-0.226683   -3.79655),   0.22794
1643023268.612401932  :  (-0.226683   -3.79655),   0.22794
1643023268.832775541  :  (-0.226683   -3.79655),   0.22794
1643023269.040425465  :  (-0.226683   -3.79655),   0.22794
1643023269.216396783  :  (-0.226683   -3.79655),   0.22794
1643023269.424480702  :  (-0.226683   -3.79655),   0.22794
1643023269.632367039  :  (-0.226683   -3.79655),   0.227242
1643023269.852369372  :  (-0.226683   -3.79655),   0.21293
1643023270.016448046  :  (-0.226046   -3.79649),   0.161268
1643023270.236443744  :  (-0.226131   -3.79649),   0.0701622
1643023271.809680007  :  (-0.214213   -3.80405),   3.33067e-16
1643023273.236390944  :  (-0.212449   -3.81786),   0
1643023273.828478346  :  (-0.223776   -3.83632),   4.44089e-16
1643023274.036761871  :  (-0.244369   -3.85717),   0
1643023274.212514096  :  (-0.269912   -3.87675),   4.44089e-16
1643023274.416535348  :  (-0.29564   -3.89262),   4.44089e-16
1643023274.608812159  :  (-0.318713   -3.90434),   0
1643023274.848438494  :  (-0.342627   -3.91435),   -4.44089e-16
1643023275.008410712  :  (-0.368808   -3.92358),   4.44089e-16
1643023275.228476460  :  (-0.400372   -3.93277),   0
1643023275.432406569  :  (-0.431273   -3.94069),   0
1643023275.608434248  :  (-0.457527   -3.94697),   0
1643023275.816423322  :  (-0.48417   -3.95289),   4.44089e-16
1643023276.006854927  :  (-0.511191   -3.95868),   8.88178e-16
1643023276.244379599  :  (-0.526145   -3.96176),   8.88178e-16
1643023276.408412597  :  (-0.544728   -3.96539),   -1.33227e-15
1643023276.628445450  :  (-0.565077   -3.96884),   0
1643023276.836412664  :  (-0.588435   -3.97239),   -1.33227e-15
1643023277.012461994  :  (-0.621999   -3.97686),   0
1643023277.220430535  :  (-0.656745   -3.98081),   4.44089e-16
1643023277.429156365  :  (-0.691459   -3.98466),   -4.44089e-16
1643023277.632426543  :  (-0.72598   -3.98831),   -1.77636e-15
1643023277.808529092  :  (-0.757862   -3.99136),   -2.22045e-15
1643023278.608478597  :  (-0.761772   -3.99168),   6.24863
1643023278.828435323  :  (-0.76207   -3.99168),   6.11249
1643023279.036470632  :  (-0.762451   -3.99163),   5.93901
1643023279.212449632  :  (-0.762783   -3.99155),   5.73829
1643023279.420387862  :  (-0.762983   -3.99148),   5.48417
1643023279.624417913  :  (-0.763215   -3.99137),   5.23738
1643023279.844396709  :  (-0.763502   -3.99119),   4.96232
1643023280.008536984  :  (-0.763785   -3.99093),   4.69459
1643023280.228416117  :  (-0.763941   -3.99073),   4.408
1643023280.440412893  :  (-0.764009   -3.99062),   4.12037
1643023280.604221142  :  (-0.764105   -3.99043),   3.84391
1643023280.848382691  :  (-0.764149   -3.99035),   3.55
1643023281.008447517  :  (-0.764206   -3.99006),   3.26551
1643023281.228393977  :  (-0.764209   -3.98985),   2.96357
1643023281.436384518  :  (-0.764189   -3.98972),   2.65709
1643023281.612415549  :  (-0.764149   -3.9896),   2.36876
1643023281.816441131  :  (-0.764092   -3.98948),   2.05914
1643023282.028482466  :  (-0.764045   -3.98941),   1.76872
1643023282.204392812  :  (-0.763962   -3.98932),   1.50412
1643023282.412445372  :  (-0.763801   -3.98918),   1.29992
1643023282.632390085  :  (-0.763765   -3.98915),   1.1205
1643023282.836406727  :  (-0.763729   -3.98913),   0.978432
1643023283.002396469  :  (-0.763654   -3.98909),   0.858702
1643023283.220473766  :  (-0.763534   -3.98904),   0.739671
1643023283.428522904  :  (-0.763495   -3.98903),   0.70267
1643023283.604393301  :  (-0.763615   -3.98907),   0.683122
1643023283.812464019  :  (-0.763332   -3.98898),   0.618196
1643023284.002206011  :  (-0.76321   -3.98894),   0.505447
1643023284.240364003  :  (-0.763086   -3.98891),   0.342085
1643023284.404371300  :  (-0.762917   -3.98889),   0.195477
1643023284.601890399  :  (-0.762832   -3.98887),   0.0614356
1643023287.000487776  :  (-0.755795   -4.00124),   -2.22045e-16
1643023287.428391811  :  (-0.753577   -4.0152),   -2.22045e-16
1643023287.604479833  :  (-0.754631   -4.02969),   2.22045e-16
1643023287.799453147  :  (-0.760527   -4.05477),   -2.22045e-16
1643023288.020405740  :  (-0.772523   -4.08416),   0
1643023288.236491025  :  (-0.788582   -4.11155),   0
1643023288.400450341  :  (-0.807661   -4.13779),   -4.44089e-16
1643023288.620434096  :  (-0.828348   -4.16329),   4.44089e-16
1643023288.824440610  :  (-0.849596   -4.18833),   0
1643023289.000467452  :  (-0.871393   -4.21374),   0
1643023289.212477568  :  (-0.893244   -4.23882),   0
1643023289.420426273  :  (-0.915436   -4.26422),   0
1643023289.640407235  :  (-0.937334   -4.28932),   0
1643023289.804486328  :  (-0.955507   -4.31048),   -4.44089e-16
1643023289.997999261  :  (-0.976963   -4.33662),   0
1643023290.236420415  :  (-0.998293   -4.36302),   0
1643023290.400503350  :  (-1.01811   -4.38974),   0
1643023290.620413353  :  (-1.03412   -4.4133),   0
1643023290.828469335  :  (-1.05191   -4.4431),   0
